project_id,environment,slot_type,mapping_status,retailer_moniker,first_job_date,last_job_date,days_span,total_jobs,active_days,total_slot_hours,avg_slot_hours_per_job,avg_concurrent_slots,avg_exec_seconds,p50_exec_seconds,p95_exec_seconds,p99_exec_seconds,max_exec_seconds,qos_violations,qos_violation_pct,total_cost_usd
monitor-01ed76c-us-prod,PROD,RESERVED,MATCHED,tjmaxx,2025-10-07,2025-10-22,16,51,3,12.84,0.2518,50.61,4.59,2.0,8.0,79.0,79,2,3.92,0.63
monitor-e954c9f-us-prod,PROD,RESERVED,UNMATCHED,,2025-09-01,2025-10-31,61,229,17,12.82,0.056,43.29,3.05,1.0,8.0,34.0,35,9,3.93,0.64
monitor-36cf68f-us-prod,PROD,RESERVED,MATCHED,eddiebauer,2025-09-02,2025-10-30,59,510,13,11.73,0.023,27.01,1.64,1.0,4.0,8.0,13,0,0.0,0.58
monitor-fd1808f-us-prod,PROD,RESERVED,MATCHED,squareup,2025-09-01,2025-10-31,61,773,61,11.67,0.0151,12.15,1.57,1.0,5.0,13.0,18,0,0.0,0.6
monitor-cd468ea-us-prod,PROD,RESERVED,UNMATCHED,,2025-10-27,2025-10-27,1,26,1,11.21,0.4312,77.11,5.69,2.0,12.0,60.0,60,1,3.85,0.56
monitor-a599a64-us-prod,PROD,RESERVED,MATCHED,nobullproject,2025-09-04,2025-10-06,33,448,12,11.01,0.0246,30.3,1.92,2.0,4.0,7.0,21,0,0.0,0.54
monitor-6772a80-us-prod,PROD,RESERVED,MATCHED,yankeecandle,2025-09-02,2025-10-27,56,42,10,10.7,0.2548,78.54,10.31,11.0,17.0,17.0,17,0,0.0,0.53
monitor-2f4aa61-us-prod,PROD,RESERVED,MATCHED,dsw,2025-09-03,2025-10-31,59,117,5,10.1,0.0863,52.24,3.46,2.0,10.0,13.0,13,0,0.0,0.5
monitor-90454f8-us-prod,PROD,RESERVED,MATCHED,esteelauder,2025-09-02,2025-10-30,59,1310,19,9.62,0.0073,14.06,1.56,1.0,4.0,18.0,54,2,0.15,0.53
monitor-880f189-us-prod,PROD,RESERVED,MATCHED,columbia1,2025-09-03,2025-10-22,50,209,7,9.22,0.0441,52.47,2.29,2.0,5.0,7.0,7,0,0.0,0.46
monitor-1f04956-us-prod,PROD,RESERVED,UNMATCHED,,2025-10-15,2025-10-31,17,130,6,9.1,0.07,35.95,3.38,2.0,10.0,23.0,57,1,0.77,0.45
