retailer_moniker,shipment_count,shipments_production_cost_usd,shipments_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
wolverine,22550480,441.9,0.002502902297621285,1.8999999999999995,38.42,100,0.0043,440.0
cabelas,22067944,432.45,0.0024493451022496123,0.12880000000000003,2.58,108,3.0E-4,432.32
madewell,21763671,426.48,0.0024155735110992635,0.10439999999999999,2.08,64,2.0E-4,426.38
columbia1,21701055,425.26,0.002408623693167767,0.4868,9.82,282,0.0011,424.77
herbalifenutritionpm,21670630,424.66,0.0024052467893322335,0.0,0.0,0,0.0,424.66
michaelkors,21075273,412.99,0.002339167468483856,0.011,0.22,4,0.0,412.98
asics,20724522,406.12,0.0023002372335712085,1.4873999999999998,30.339999999999975,332,0.0037,404.63
fingerhut,20587208,403.43,0.002284996603389697,0.5181999999999993,10.079999999999995,326,0.0013,402.91
forever21,20388475,399.54,0.0022629390116083612,4.5542,92.1,166,0.0114,394.99
vans,20363653,399.05,0.0022601839908357856,0.8028,16.139999999999997,186,0.002,398.25
carhartt,20197934,395.8,0.0022417906588153807,0.263,5.38,92,7.0E-4,395.54
eastbay,19765684,387.33,0.002193814761267,0.0,0.0,0,0.0,387.33
tractorsupply,19638515,384.84,0.002179700135667625,0.0,0.0,0,0.0,384.84
off5th,19574393,383.58,0.002172583165158435,0.0,0.0,0,0.0,383.58
