retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
arcteryxoutlet,monitor-b3f10ff-us-prod,monitor-b3f10ff-us-qa,monitor-b3f10ff-us-stg,b3f10ff
argent,monitor-b5c90cf-us-prod,monitor-b5c90cf-us-qa,monitor-b5c90cf-us-stg,b5c90cf
ariat,monitor-0564731-us-prod,monitor-0564731-us-qa,monitor-0564731-us-stg,0564731
ariatcrew,monitor-031ef23-us-prod,monitor-031ef23-us-qa,monitor-031ef23-us-stg,031ef23
aritaum,monitor-37245e4-us-prod,monitor-37245e4-us-qa,monitor-37245e4-us-stg,37245e4
aritzia,monitor-f91e69b-us-prod,monitor-f91e69b-us-qa,monitor-f91e69b-us-stg,f91e69b
artcom,monitor-1f454bc-us-prod,monitor-1f454bc-us-qa,monitor-1f454bc-us-stg,1f454bc
artika-ca,monitor-d9e5e3c-us-prod,monitor-d9e5e3c-us-qa,monitor-d9e5e3c-us-stg,d9e5e3c
arula,monitor-f82b25d-us-prod,monitor-f82b25d-us-qa,monitor-f82b25d-us-stg,f82b25d
ascena,monitor-3f0698c-us-prod,monitor-3f0698c-us-qa,monitor-3f0698c-us-stg,3f0698c
ashleystewart,monitor-19741d4-us-prod,monitor-19741d4-us-qa,monitor-19741d4-us-stg,19741d4
ashleystewartstaging,monitor-5357d44-us-prod,monitor-5357d44-us-qa,monitor-5357d44-us-stg,5357d44
asics,monitor-dd7aa8a-us-prod,monitor-dd7aa8a-us-qa,monitor-dd7aa8a-us-stg,dd7aa8a
asicstiger,monitor-5edcbd2-us-prod,monitor-5edcbd2-us-qa,monitor-5edcbd2-us-stg,5edcbd2
asicswalking,monitor-f468be5-us-prod,monitor-f468be5-us-qa,monitor-f468be5-us-stg,f468be5
asiogear,monitor-64b10ec-us-prod,monitor-64b10ec-us-qa,monitor-64b10ec-us-stg,64b10ec
asrevival,monitor-775c341-us-prod,monitor-775c341-us-qa,monitor-775c341-us-stg,775c341
asrv,monitor-f01d845-us-prod,monitor-f01d845-us-qa,monitor-f01d845-us-stg,f01d845
assisttrainingdemo,monitor-ffeb103-us-prod,monitor-ffeb103-us-qa,monitor-ffeb103-us-stg,ffeb103
astrogaming,monitor-c0b8987-us-prod,monitor-c0b8987-us-qa,monitor-c0b8987-us-stg,c0b8987
atechmotorsports,monitor-e473a15-us-prod,monitor-e473a15-us-qa,monitor-e473a15-us-stg,e473a15
atest,monitor-b50cd72-us-prod,monitor-b50cd72-us-qa,monitor-b50cd72-us-stg,b50cd72
atest-demo,monitor-5ed8e51-us-prod,monitor-5ed8e51-us-qa,monitor-5ed8e51-us-stg,5ed8e51
atest2,monitor-6ecb826-us-prod,monitor-6ecb826-us-qa,monitor-6ecb826-us-stg,6ecb826
