Value,SKU,Service,Project/Account ID,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11
Actual,GenerateContent text input token count for Gemini 2.0 Flash Lite,Gemini API,narvar-data-lake,,,,,,,5.3415405,13.1474961,13.166218800000003,14.6459718,15.083172,2.4955083000000005,1.8422244000000005,
Actual,Multi-Region HNS Standard Class A Operations,Cloud Storage (GCS),narvar-data-lake,,,,,1.4935167,3.1556187000000007,4.4259227999999995,5.8929039,7.080208200000001,8.7763689,10.2425778,11.351702699999997,13.276434599999996,
Actual,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in us-central1,Notebooks,narvar-data-lake,3.5993619000000003,3.5993402999999997,3.5994033000000005,3.5993367,3.5994780000000004,3.5994375,3.5994690000000014,3.599460900000001,6.6974787000000005,7.199315100000001,7.199242199999999,7.199374500000001,7.1992908,
Actual,vCPU Time Batch Iowa,Cloud Dataflow,narvar-data-lake,,,,,,,,,,,,57.4878528,,
Actual,Vertex AI: Training/Pipelines on E2 Instance Core running in Americas,Vertex AI,narvar-data-lake,,,,,,,,,5.670554399999999,25.387410600000003,6.9688287,9.369306899999998,8.109968400000001,
Actual,Cloud Run functions CPU (Request-based billing) in us-central1,Cloud Run Functions,narvar-data-lake,,,,,,,,6.963439500000001,11.023269300000004,8.179146900000001,8.708664599999999,8.187290999999998,7.717383,
Actual,Services Memory (Request-based billing),Cloud Run,narvar-data-lake,,,,,,,,6.117360300000002,8.046947700000002,8.763192,11.635268400000001,6.08688,,
Actual,Static Ip Charge,Compute Engine (GCE),narvar-data-lake,,,,,,,,,,,12.438638100000002,12.9595311,13.391615700000003,
Actual,Container Images Scanned,Container Registry Vulnerability Scanning,narvar-data-lake,,4.446,2.5740000000000003,,,1.4040000000000001,,,,14.742,5.616,7.722,1.6380000000000001,
Actual,Vertex AI: Online/Batch Prediction Nvidia L4 GPU running in Iowa,Vertex AI,narvar-data-lake,,,,,,,,,,,,37.9474569,,
Actual,Vertex AI: Training/Pipelines on E2 Instance Ram running in Americas,Vertex AI,narvar-data-lake,,,,,,,,,5.5197107999999995,19.068336000000002,3.7789848000000004,5.040721799999998,4.409936999999999,
Actual,Networking Cloud NAT IP Usage,Networking,narvar-data-lake,,,3.3474834,3.3474285000000004,3.0235644000000006,3.3431193,3.239631900000001,3.347577900000001,3.239683200000001,3.3476823,3.347689500000001,3.2396715000000005,3.347705700000001,
Actual,Services Min Instance Memory (Request-based billing),Cloud Run,narvar-data-lake,,,,,,,,4.4202501,5.8418334000000005,6.0347781000000005,6.157700999999999,5.847341400000001,5.978294099999999,
Actual,Cloud Run functions (1st Gen) Memory (Request-based billing),Cloud Run Functions,narvar-data-lake,,,,,,,,3.8810492999999995,9.047031300000002,4.9663179,4.987506600000001,4.8122207999999995,5.407218000000001,
Actual,Vertex Colab Storage for GCE usage - Standard Persistent Disk in us-west1,Vertex AI,narvar-data-lake,,,,,,2.3144931,4.3194537,4.3194159,4.319456399999999,4.3194537,4.3194699000000005,4.319463600000001,4.3194771,
Actual,Network Internet Data Transfer Out from Americas to Americas,Compute Engine (GCE),narvar-data-lake,9.875722500000768,2.5484570999999794,2.1683384999999973,1.9055843999999993,1.5500160000000007,1.5962184000000024,1.6187742000000036,2.3617440000000043,1.3643487000000034,1.394255700000001,1.3592250000000015,1.3397687999999999,1.8349181999999988,
Actual,BigQuery Standard Edition for Iowa (us-central1),BigQuery Reservation API,narvar-data-lake,,,,,,,,,,,6.205864500000001,,18.167687100000002,
Actual,Artifact Registry Storage,Artifact Registry,narvar-data-lake,1.2737763,1.3614975000000002,1.3624029000000002,1.4725368000000005,1.6134318000000003,1.6179975000000002,1.6299288000000003,1.6595181,1.7225387999999997,1.9455011999999998,2.0171384999999993,2.0263914000000005,2.0341403999999996,
Actual,N1 Predefined Instance Core running in Americas,Compute Engine (GCE),narvar-data-lake,,,,,,,,,,,,,21.0791448,
Actual,Workbench Instances Storage for GCE usage - Balanced Persistent Disk in us-central1,Notebooks,narvar-data-lake,,,,,,,,,,,,,20.971452599999996,
Actual,Vertex AI: Online/Batch Prediction G2 Predefined Instance Core running in Iowa,Vertex AI,narvar-data-lake,,,,,,,,,,,,20.320309800000004,,
Actual,N1 Predefined Instance Ram running in Americas,Compute Engine (GCE),narvar-data-lake,,,,,,,,,,,,,16.762490099999983,
Actual,Download APAC,Cloud Storage (GCS),narvar-data-lake,,,,,,,,2.644047,1.6349634000000002,3.3818202000000004,4.8083868,3.6023895,,
Actual,Cloud Composer Compute Storage (us-central1),Cloud Composer,narvar-data-lake,,,,,1.469007,1.7373500999999998,1.6836327,1.7404659,1.6836254999999998,1.7396198999999997,1.7393984999999996,1.6826525999999997,1.7388071999999997,
Actual,Long Term Logical Storage (us-central1),BigQuery,narvar-data-lake,1.1573586,1.1574332999999999,1.1575566000000002,1.1577537,1.1574522,1.1714013,1.1736764999999996,1.1744730000000003,1.174707,1.1747664000000002,1.1757888000000005,1.1765645999999996,1.1789325000000002,
Actual,RAM Time Iowa,Cloud Dataflow,narvar-data-lake,,,,,,,,,,,,14.6057697,,
Actual,Cloud Composer Database Storage (us-central1).,Cloud Composer,narvar-data-lake,,,,,1.5275745,1.5278535,1.5276492,1.5266961,1.5276564,1.5266231999999997,1.5267159,1.5276663000000004,1.5266763,
Actual,Networking Cloud Nat Data Processing,Networking,narvar-data-lake,,,,,,,,,,,,3.9280005,9.6209361,
Actual,AI Pipeline job: Managed Pipeline job count,Vertex AI,narvar-data-lake,,,,,,,,,2.322,3.051,2.646000000000001,1.8360000000000007,2.2950000000000004,
Actual,Services Memory (Instance-based billing) in us-central1,Cloud Run,narvar-data-lake,,,,,,,,1.6836569999999997,4.913523,1.7011593000000005,,,3.7584494999999976,
Actual,Vertex AI: Training/Pipelines on SSD backed PD Capacity,Vertex AI,narvar-data-lake,,,,,,,,,,5.362290900000001,1.8459234,2.5443404999999997,2.1541419,
Actual,Vertex AI: Online/Batch Prediction G2 Predefined Instance Ram running in Iowa,Vertex AI,narvar-data-lake,,,,,,,,,,,,9.5308641,,
Actual,Secret version replica storage,Secret Manager,narvar-data-lake,,,,,,,1.0237418999999999,1.0235844000000003,1.0240911,1.0236753000000003,1.0227123,1.0235034,1.0234781999999998,
Actual,GenerateContent text input token count for Gemini 2.0 Flash,Gemini API,narvar-data-lake,,,,,,,,,,7.0851546,,,,
Actual,General Data Transfer Networking Traffic for Google Cloud Cross Region/Inter Region within NorthAmerica,BigQuery,narvar-data-lake,,,,,,,1.3333437,,1.4258429999999997,1.3493555999999993,,1.0786688999999998,1.6747227,
Actual,Backup storage,Cloud Bigtable,narvar-data-lake,,,,,,,,,,,6.596597700000001,,,
Actual,Network Inter Region Data Transfer Out from Americas to Americas,Compute Engine (GCE),narvar-data-lake,3.8091086999999986,,,,,,,,,,,,2.6557343999999996,
Actual,BigQuery Standard Edition for Oregon (us-west1),BigQuery Reservation API,narvar-data-lake,,,,,,5.9392926,,,,,,,,
Actual,Notebook SSD Storage (us-central1),BigQuery,narvar-data-lake,,,,,,,,,,,1.3576508999999999,,3.6284355,
Actual,Workbench Instances CPU for GCE usage - E2 Instance Cores in us-central1,Notebooks,narvar-data-lake,,,,,,,,,,,,,4.0915791,
Actual,BigQuery Storage API - Write (us),BigQuery Storage API,narvar-data-lake,,3.0637386000000006,,,,,,,,,,,,
Actual,Claude 3.5 Sonnet V2 Input Tokens,Claude 3.5 Sonnet v2,narvar-data-lake,,,,,2.569347,,,,,,,,,
Actual,Global External Application Load Balancer Outbound Data Processing for Oregon (us-west1),Networking,narvar-data-lake,2.3692481999999995,,,,,,,,,,,,,
Actual,Workbench Instances RAM for GCE usage - E2 Instance RAM in us-central1,Notebooks,narvar-data-lake,,,,,,,,,,,,,2.1936339,
Actual,Claude 3.5 Sonnet V2 Output Tokens,Claude 3.5 Sonnet v2,narvar-data-lake,,,,,2.063415,,,,,,,,,
Actual,Gemini 2.5 Pro Thinking Text Output - Batch Predictions,Vertex AI,narvar-data-lake,,,,,,,,,,,,,1.9943955000000002,
Actual,Cloud Run functions Min-Instance Memory (Request-based billing) in us-central1,Cloud Run Functions,narvar-data-lake,,,,,,,,,,,,,1.4263272,
Actual,GenerateContent text output token count for Gemini 2.0 Flash,Gemini API,narvar-data-lake,,,,,,,,,,1.2251682,,,,
Actual, Gemini 2.0 Flash Text Input - Batch Predictions,Vertex AI,narvar-data-lake,,,,,,,,,,,70.22335410000001,293.61265470000006,155.23108560000003,
